Dataset,Model,Fold,Accuracy,Balanced Accuracy,Precision (weighted),Recall (weighted),F1 (weighted),F1 (macro),AUC (OVR),AUPRC,MCC
Fused pseudo sensitivity,KNN,1,0.7142857142857143,0.6797107213773879,0.7621861471861472,0.7142857142857143,0.7164941936370507,0.6316738816738816,0.8748854378169415,0.6589474656736561,0.6935202071656218
Fused pseudo sensitivity,KNN,2,0.5523809523809524,0.5147079772079771,0.7055857898715041,0.5523809523809524,0.5761596732897427,0.4672519364654915,0.8241556366632723,0.5242282300639243,0.526558665510945
Fused pseudo sensitivity,KNN,3,0.6285714285714286,0.586572378239045,0.6991483259970654,0.6285714285714286,0.6383301926986213,0.5547842974618648,0.8550167235270923,0.5676184269105701,0.5989231611374841
Fused pseudo sensitivity,KNN,4,0.5384615384615384,0.4854256854256854,0.6231570512820513,0.5384615384615384,0.5533414599784205,0.43121122328439404,0.8121518570096489,0.5290868900692903,0.5028781571577489
Fused pseudo sensitivity,KNN,5,0.6153846153846154,0.5394383394383394,0.6989624958374958,0.6153846153846154,0.6331318072171731,0.5015526930161076,0.8463853839795445,0.5575612943310986,0.5856603955855897
Fused pseudo sensitivity,KNN,6,0.6190476190476191,0.6064611314611316,0.6658648758648759,0.6190476190476191,0.6155206331931071,0.5328091721587658,0.8791022013653018,0.6564500134846695,0.590618953749655
Fused pseudo sensitivity,KNN,7,0.5961538461538461,0.5764360639360638,0.719529082029082,0.5961538461538461,0.6101950337244454,0.5272283997774194,0.8418952557739969,0.5635547842382802,0.5738215278525277
Fused pseudo sensitivity,KNN,8,0.625,0.5693729110395777,0.6947344322344323,0.625,0.6460726773226774,0.5478435145101812,0.8263117674160971,0.5253735033961159,0.592870547708894
Fused pseudo sensitivity,KNN,9,0.5480769230769231,0.5286223036223037,0.6541791541791542,0.5480769230769231,0.5675073331323331,0.485875431708765,0.7786528860466669,0.49170345016690437,0.5197138225592243
Fused pseudo sensitivity,KNN,10,0.6730769230769231,0.5908628408628408,0.7451159951159951,0.6730769230769231,0.6874847437296292,0.5727781313774221,0.8243024380449175,0.6137851253416756,0.6424842610943666
Fused pseudo sensitivity,XGBoost,1,0.9047619047619048,0.8009259259259259,0.9338447971781305,0.9047619047619048,0.9077315706156676,0.8226290306478986,0.9934586595914493,0.9016500474833808,0.8941161332745241
Fused pseudo sensitivity,XGBoost,2,0.8666666666666667,0.7766788766788767,0.8556613756613757,0.8666666666666667,0.8568513527004092,0.7652174636451365,0.9839704935169993,0.8279385260376461,0.8507880792403617
Fused pseudo sensitivity,XGBoost,3,0.9047619047619048,0.8461877628544294,0.9056349206349207,0.9047619047619048,0.8967947178871549,0.8277963322080969,0.9921705285220557,0.9050827944364985,0.8944535480396737
Fused pseudo sensitivity,XGBoost,4,0.8557692307692307,0.7734802234802234,0.8586691086691087,0.8557692307692307,0.8513235192480475,0.7677507328450724,0.9886406230326986,0.8505879993778166,0.8391445819598795
Fused pseudo sensitivity,XGBoost,5,0.875,0.7807794057794057,0.8753205128205128,0.875,0.8721846529538837,0.7639431556098223,0.9765973365996055,0.812506221438924,0.8601515096550134
Fused pseudo sensitivity,XGBoost,6,0.8571428571428571,0.7356939356939357,0.8561791383219954,0.8571428571428571,0.8466679927331556,0.7447312488248161,0.9761132996439144,0.8113650823693559,0.8400153014169012
Fused pseudo sensitivity,XGBoost,7,0.875,0.8006831131831131,0.8741758241758242,0.875,0.8663105413105414,0.8073466142910587,0.9808860430824377,0.8562828937866646,0.8602128258970269
Fused pseudo sensitivity,XGBoost,8,0.8269230769230769,0.7323463573463573,0.8500320512820512,0.8269230769230769,0.8263143538866538,0.7279316086647715,0.9784387323905077,0.804576698316479,0.8081781231158055
